"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder_with_rape_or_gang_rape","dowry_deaths","abetment_to_suicide_of_women","miscarriage","acid_attack","attempt_to_acid_attack","cruelty_by_husband_or_his_relatives","kidnapping_and_abduction_of_women_total","human_trafficking","selling_of_minor_girls","buying_of_minor_girls","rape","attempt_to_commit_rape","assault_on_women_with_intent_to_outrage_her_modesty","insult_to_the_modesty_of_women","dowry_prohibition","immoral_traffic_prevention_act_total","protection_of_women_from_domestic_violence_act","cyber_crimes_or_infor_tech_women_centric_crimes","prot_of_children_frm_sexual_viol_girl_child_victims","indecent_representation_of_women_prohibition","total_crime_against_women"
73,"2020-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
74,"2019-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"2019-01-01","Himachal Pradesh","02","Shimla","023","GRP",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,"2018-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"2018-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,"2017-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"2017-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,"2016-01-01","Himachal Pradesh","02","Shimla","023","CID","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0
81,"2016-01-01","Himachal Pradesh","02","Shimla","023","GRP","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0
82,"2021-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"2020-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,106.0
84,"2019-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,"2018-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"2017-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
