"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder","attempt_to_commit_murder","simple_hurt","grievous_hurt","aslt_on_adult_women","sexual_harassment","assault_on_women_with_intent_to_disrobe","voyeurism","stalking","assault_of_children","insult_to_the_modesty_of_women","kidnapping_and_abduction","rape","attempt_to_commit_rape","rioting","robbery","dacoity","arson","criminal_intimidation","other_ipc_crimes","sc_st_prevention_of_atrocities_act","protection_of_civil_rights_act","total_crime"
64,"2016-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,1.0,0.0,1.0
65,"2016-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
66,"2016-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
67,"2016-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
68,"2016-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
69,"2016-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,1.0,0.0,1.0
70,"2016-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
71,"2016-01-01","Himachal Pradesh","02","Una","026","Una",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
72,"2021-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"2021-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,"2021-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
